IDENTSTF,CODE_PREC,H_ELLIP,MAT,NUMERO,INDICE,RESEAU,RATTACH
DUM_INFRA_GPOREP.66,ADAP,133.767,,33-IV -2004,./,DUMBEA+MONT DORE,POLYGONATION,RCNC
DUM_INFRA_GPOREP.86,OBS,133.767,,33-IV -2004,a,DUMBEA+MONT DORE,POLYGONATION,RCNC
DUM_INFRA_GPOREP.71,OBS,85.127,,33-IV -2008,a,DUM_INFRA_POLYGONATION,RCNC
DUM_INFRA_GPOREP.88,OBS,82.615,,33-IV -2013,a,DUM_INFRA_POLYGONATION,RCNC
DUM_INFRA_GPOREP.65,ADAP,,,34-III-   1,./,DUM_INFRA_POLYGONATION,
FOA_INFRA_GPOREP.67,ADAP,,,25-III-   1,./,FOA_INFRA_POLYGONATION,
FOA_INFRA_GPOREP.68,ADAP,,,25-III-   2,./,FOA_INFRA_POLYGONATION,
FOA_INFRA_GPOREP.69,ADAP,,,25-III-   4,./,FOA_INFRA_POLYGONATION,
FOA_INFRA_GPOREP.70,ADAP,,,25-III-   5,./,FOA_INFRA_POLYGONATION,
FOA_INFRA_GPOREP.72,ADAP,,,25-III-   9,a,FOA_INFRA_POLYGONATION,
FOA_INFRA_GPOREP.73,ADAP,,,25-III-  13,./,FOA_INFRA_POLYGONATION,
FOA_INFRA_GPOREP.74,ADAP,,,25-III-  14,./,FOA_INFRA_POLYGONATION,
FOA_INFRA_GPOREP.77,ADAP,,,25-III-  46,a,FOA_INFRA_POLYGONATION,
FOA_INFRA_GPOREP.78,ADAP,,,25-III-  55,a,FOA_INFRA_POLYGONATION,
FOA_INFRA_GPOREP.79,ADAP,,,25-III-  56,./,FOA_INFRA_POLYGONATION,
FOA_INFRA_GPOREP.83,ADAP,,,25-III-  69,a,FARINO,POLYGONATION,
FOA_INFRA_GPOREP.84,OBS,72. 068,,25-III-2001,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.85,OBS,72.137,,25-III-2002,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.86,ADAP,,,25-III-2002,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.87,OBS,79.758,,25-III-2003,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.88,ADAP,,,25-III-2003,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.89,OBS,80.200,,25-III-2004,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.90,OBS,82.697,,25-III-2005,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.91,OBS,70.852,,25-III-2006,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.92,ADAP,,,25-III-2006,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.93,OBS,70.264,,25-III-2007,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.94,ADAP,,,25-III-2007,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.95,OBS,70.767,,25-III-2008,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.96,ADAP,,,25-III-2008,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.99,ADAP,,,25-III-2010,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.101,ADAP,,,25-III-2011,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.102,OBS,76.298,,25-III-2012,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.103,OBS,76.949,,25-III-2013,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.105,OBS,77.075,,25-III-2014,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.106,ADAP,,,25-III-2014,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.107,OBS,74.481,,25-III-2015,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.108,ADAP,,,25-III-2015,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.109,OBS,74.901,,25-III-2016,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.110,ADAP,,,25-III-2016,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.111,ADAP,,,25-III-2017,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.112,OBS,82.848,,25-III-2018,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.113,ADAP,,,25-III-2018,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.114,OBS,79.558,,25-III-2019,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.115,ADAP,,,25-III-2019,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.118,OBS,78.902,,25-III-2020,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.119,ADAP,,,25-III-2020,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.4,ADAP,,,25-III-2021,b,FOA_INFRA_POLYGONATION,
FOA_INFRA_GPOREP.5,OBS,72.344,,25-III-2022,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.6,ADAP,,,25-III-2022,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.11,ADAP,,,25-III-2024,b,FOA_INFRA_POLYGONATION,
FOA_INFRA_GPOREP.12,OBS,66.167,,25-III-2025,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.13,OBS,65.465,,25-III-2026,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.14,ADAP,,,25-III-2026,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.15,OBS,65.118,,25-III-2027,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.16,ADAP,,,25-III-2027,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.17,ADAP,,,25-III-2028,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.20,ADAP,,,25-III-2029,b,FOA_INFRA_POLYGONATION,
FOA_INFRA_GPOREP.21,OBS,65.547,,25-III-2030,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.22,ADAP,,,25-III-2030,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.24,ADAP,,,25-III-2031,b,FOA_INFRA_POLYGONATION,
FOA_INFRA_GPOREP.26,ADAP,,,25-III-2032,b,FOA_INFRA_POLYGONATION,
FOA_INFRA_GPOREP.28,ADAP,,,25-III-2033,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.29,ADAP,,,25-III-2033,c,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.31,ADAP,,,25-III-2034,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.32,ADAP,,,25-III-2035,a,FOA_INFRA_POLYGONATION,
FOA_INFRA_GPOREP.54,ADAP,,,25-III-2035,c,FOA_INFRA_POLYGONATION,
FOA_INFRA_GPOREP.33,ADAP,,,25-III-2036,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.34,ADAP,,,25-III-2037,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.35,ADAP,,,25-III-2038,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.53,ADAP,,,25-III-2039,c,FOA_INFRA_POLYGONATION,RCNC
